DomainName
RNA recognition motif domain
Nucleotide-binding alpha-beta plait domain superfamily
CPEB-1, RNA recognition motif 1
RNA-binding domain superfamily
PH-like domain superfamily
K Homology domain, type 1
K Homology domain, type 1 superfamily
YTH domain
WH1/EVH1 domain
Zinc finger, GATA-type
Zinc finger, NHR/GATA-type
Rab GTPase-activating TBC domain-containing protein
Pleckstrin homology domain
Polyadenylate-binding protein/Hyperplastic disc protein, C-terminal
RNA recognition motif domain, eukaryotes
Polyadenylate binding protein, human types 1, 2, 3, 4
PABP, RNA recognition motif 1
PABC (PABP) domain
PTBP1-like, RNA recognition motif 2
Transforming acidic coiled-coil-containing protein, C-terminal
TACC family
hnRNP A2/B1, RNA recognition motif 1
hnRNP DL, RNA recognition motif 1
SLIRP, RNA recognition motif
SRA stem-loop-interacting RNA-binding protein/Glycine-rich RNA-binding-like
Fragile X messenger ribonucleoprotein 1-like, C-terminal core
Fragile X messenger ribonucleoprotein 1
Kinesin-like
Double-stranded RNA-binding domain
RBM15, RNA recognition motif 1
RBM15, RNA recognition motif 2
RBM15, RNA recognition motif 3
Signal recognition particle, SRP19 subunit
Signal recognition particle, subunit SRP19-like superfamily
ESF1, RRM domain
Pseudouridine synthase I, TruA
Pseudouridine synthase I, TruA, C-terminal
Pseudouridine synthase I, TruA, alpha/beta domain
Pseudouridine synthase, catalytic domain superfamily
FERM central domain
Band 4.1 domain
FERM superfamily, second domain
Ribonucleoprotein PTB-binding 1, RNA recognition motif 1
Ribonucleoprotein PTB-binding 1, RNA recognition motif 3
Eukaryotic RNA-binding
UPF3 domain
tRNA/rRNA methyltransferase, SpoU type
Ribonuclease T2-like
Ribonuclease T2-like superfamily
RBM26, RNA recognition motif 1
RBM26-like, RNA recognition motif 2
RNA-binding protein 26/27
RNA binding protein fox-1 homolog 1-3
FOX1, RNA recognition motif
RNA binding protein fox-1 homolog 1-like
Serine/Arginine-Rich Splicing Factor
Zinc finger, double-stranded RNA binding
Ribonuclease P protein subunit Rpp29/RNP1
Ribonuclease P/MRP subunit Rpp29
Ribonuclease P/MRP subunit Rpp29 superfamily
MEF-2, RNA recognition motif 1
MEF-2, RNA recognition motif 3
RRT5/SRSF/Splicing Factor SR
Paraneoplastic encephalomyelitis antigen
Splicing factor ELAV/Hu
HuB, RNA recognition motif 3
HuB, RNA recognition motif 2
MIF4G-like, type 3
Nucleolar protein 8, RNA recognition motif
Negative elongation factor E, RNA recognition motif
DAZ, RNA recognition motif, vertebrates
Isoleucyl tRNA synthetase type 2, anticodon-binding domain
SCAF8, RNA recognition motif
Brix domain
Luc7-related
SRSF7, RNA recognition motif
Large ribosomal subunit protein eL30-like
Sm domain
Small ribosomal subunit protein uS19, conserved site
RNA-binding protein 33
PAN2-PAN3 deadenylation complex subunit PAN3
Pumilio RNA-binding repeat
Pumilio homology domain
Pumilio, RNA binding domain
S1-like RNA binding domain
Zinc finger protein 106
CELF-3/4/5/6, RNA recognition motif 1
Poly(A) polymerase, RNA-binding domain
Nucleotidyltransferase, class I-like, C-terminal
Serine/arginine-rich splicing factor 4/6, RNA recognition motif 2
HnRNP-L/PTB
EWS, RNA recognition motif
TAF15/EWS/TLS family
Synaptojanin-1/2, RNA recognition motif
Synaptojanin-1, RNA recognition motif
RRM HNRPC family, RALY subfamily
Survival motor neuron, Tudor domain
RNA-binding motif protein 8
RBM8, RNA recognition motif
CELF1/2, RNA recognition motif 1
CELF1/2, RNA recognition motif 2
CELF1/2, RNA recognition motif 3
HuD, RNA recognition motif 3
Matrin-3, RNA recognition motif 1
Matrin-3, RNA recognition motif 2
Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal
Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal, subdomain 1
Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain 2
Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal, subdomain 2
Splicing factor, RBM39-like
ATR-interacting protein
Transcriptional repressor p66
Transcriptional repressor p66, coiled-coil MBD2-interaction domain
PTBP1, RNA recognition motif 1
PTBP1, RNA recognition motif 3
VASP tetramerisation
VASP tetramerisation domain superfamily
Kindlin/fermitin, PH domain
Kindlin/fermitin
Valyl-tRNA synthetase, tRNA-binding arm superfamily
Lin-28 homolog RNA-binding protein
TNRC6C, RNA recognition motif
RNA-binding motif
RBMS3, RNA recognition motif 2
U2 auxiliary factor small subunit
Synaptojanin-2, RNA recognition motif
Ferlin, dsRNA-binding domain-like domain
Large ribosomal subunit protein uL18, eukaryotic/archaeal
hnRNP A1/3, RNA recognition motif 2
hnRNP A1, RNA recognition motif 1
Ataxin2-like
Large ribosomal subunit protein uL6-like
Large ribosomal subunit protein uL6, alpha-beta domain
Large ribosomal subunit protein uL6-like, alpha-beta domain superfamily
Ribonuclease HII/HIII
Small ribosomal subunit protein uS14, archaea
uS15/NS1, RNA-binding domain superfamily
ESRP1, RNA recognition motif 1
Adenosine deaminase/editase
Z-binding domain
ADAR1, first double-stranded RNA binding domain
ADAR1, third double-stranded RNA binding domain
Large ribosomal subunit protein eL8/uL1-like
PUA domain
Uncharacterised domain CHP00451
Nucleolar protein 9
Nuclear polyadenylated RNA-binding protein Nab2/ZC3H14
PARP14, second RRM domain
PAR14-like, first RRM domain
hnRNP-L, RNA recognition motif 3
hnRNP-L, RNA recognition motif 4
hnRNP-L, RNA recognition motif 1
hnRNP-L, RNA recognition motif 2
Heterogeneous nuclear ribonucleoprotein L, RRM domain
Phenylalanyl-tRNA synthetase
RNA guanine-N7 methyltransferase activating subunit
H/ACA ribonucleoprotein complex, subunit Nhp2-like
Poly(A)-specific ribonuclease, RNA-binding
RNA-binding_regulatory_proteins
Protein elav, RNA recognition motif 1
Poly A polymerase, head domain
Nucleolar protein Nop56/Nop58
Splicing factor 3B subunit 1-like
SART3, RNA recognition motif 1
SART3, RNA recognition motif 2
RNA-binding protein vts1-like, alpha-helical domain
SRSF6, RNA recognition motif 1
Telomerase ribonucleoprotein complex - RNA-binding domain
tRNA-binding domain
Large ribosomal subunit protein uL2, RNA-binding domain
SHARP, RNA recognition motif 2
SHARP, RNA recognition motif 3
SHARP, RNA recognition motif 4
PAZ domain
PABP, RNA recognition motif 2
Heterogeneous nuclear ribonucleoprotein R, RNA recognition motif 1
Heterogeneous nuclear ribonucleoprotein R, RNA recognition motif 2
PTBP2, RNA recognition motif 3
PTBP2, RNA recognition motif 4
PTBP2, RNA recognition motif 1
RNA-binding protein Musashi homologue, RNA recognition motif 2
RNA-binding protein Nova-1/2, type I K Homology domain 3
RNA-binding protein Nova-1/2, type I K Homology domain 1
RNA-binding protein Nova-1/2, type I K Homology domain 2
Helicase SMUBP-2/HCS1, 1B domain
RNA-binding protein MEX-3, second type I KH domain
RNA-binding protein MEX3
mRNA decapping protein 2, Box A domain
mRNA decapping protein 2, Box A domain superfamily
Heterogeneous nuclear ribonucleoprotein Q, RNA recognition motif 1
PRKRA, second double-stranded RNA binding domain
PRKRA, third double-stranded RNA binding domain
Large ribosomal subunit protein eL19
PRKRA, first double-stranded RNA binding domain
Nucleolin, RNA recognition motif 1
Nucleolin, RNA recognition motif 2
Nucleolin, RNA recognition motif 3
Heterogeneous nuclear ribonucleoprotein Q, RNA recognition motif 2
Exosome complex RNA-binding protein 1/RRP40/RRP4
eIF4H, RNA recognition motif
Nucleolin, RNA recognition motif 4
G3BP2, RNA recognition motif
p54nrb, RNA recognition motif 1
p54nrb, RNA recognition motif 2
Signal recognition particle, SRP54 subunit, eukaryotic
Signal recognition particle, SRP54 subunit, M-domain
Signal recognition particle, SRP54 subunit, M-domain superfamily
G3BP1, RNA recognition motif
Small ribosomal subunit protein uS10, conserved site
EIF2AK2, first double-stranded RNA binding domain
EIF2AK2, second double-stranded RNA binding domain
Ribonuclease T2, His active site 1
Calcipressin-1, RNA recognition motif
GUCT
Lupus La protein
LARP7, RNA recognition motif 1
Ecto-NOX disulfide-thiol exchanger, RNA recognition motif
Translation Initiation factor eIF- 4e
Eukaryotic translation initiation factor 4E (eIF-4E), conserved site
DNA/RNA-binding domain, Est1-type
La protein, xRRM domain
LARP7, RNA recognition motif 2
LARP5, RNA recognition motif
Protein PCF11-like
Helicase MOV-10/SDE3, DEXXQ/H-box helicase domain
RNA-binding region-containing protein RBM41/RNPC3
Polycomb group protein, RNA binding region
Small ribosomal subunit protein uS5
Protein SON
Small ribosomal subunit protein uS5, N-terminal
PUA domain superfamily
Dicer, double-stranded RNA-binding domain
PSF, RNA recognition motif 1
ATP-dependent RNA helicase SKI2-like
RNA-binding protein FXR1, first Tudor-like Agenet domain
RNA-binding protein FXR1, second Tudor-like Agenet domain
RNA-binding protein FXR1, first type I K homology domain
RNA-binding protein FXR1, second type I K homology domain
RNA-binding protein FXR2, third type I K homology domain
H/ACA ribonucleoprotein complex, subunit Nop10
H/ACA ribonucleoprotein complex, subunit Nop10 superfamily
Pre-mRNA-processing-splicing factor 8, U6-snRNA-binding
Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
RNA recognition motif, spliceosomal PrP8
Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding domain superfamily
U2 small nuclear ribonucleoprotein A'
RNA helicase UPF1, Cys/His rich zinc-binding domain
ADAR2, first double-stranded RNA binding domain
ADAR2, second double-stranded RNA binding domain
Microprocessor complex subunit DGCR8
Poly(U)-binding-splicing regulator
Poly-U binding splicing factor, PUF60-like
PUF60, RNA recognition motif 1
PUF60, RNA recognition motif 2
PUF60, RNA recognition motif 3
RNA-binding protein FXR2, second Tudor-like Agenet domain
RNA-binding protein FXR2, first Tudor-like Agenet domain
RNA-binding protein FXR2, first type I K homology domain
RNA-binding protein FXR2, second type I K homology domain
SRSF9, RNA recognition motif 1
SRSF9, RNA recognition motif 2
CNOT4, RNA recognition motif
RISC-loading complex subunit TRBP2
TRBP2 , first double-stranded RNA binding domain
TRBP2 , second double-stranded RNA binding domain
TRBP2 , third double-stranded RNA binding domain
Ribonuclease II/R
Set1A, RNA recognition motif
RNA-binding protein 47, RNA recognition motif 2
RNA-binding protein 47, RNA recognition motif 3
RNA-binding protein 47, RNA recognition motif 1
RNA-binding protein MEX-3, first type I KH domain
RBM34, RNA recognition motif 2
KH-like RNA-binding domain
rRNA 2'-O-methyltransferase fibrillarin-like
Fibrillarin, conserved site
RNA-binding domain, S1, IF1 type
CPSF complex subunit CPSF4-like
Nuclear cap-binding protein subunit 2
NCBP2, RNA recognition motif
Large ribosomal subunit protein uL30, eukaryotic
Hyaluronan/mRNA-binding protein
Large ribosomal subunit protein uL23, conserved site
Small ribosomal subunit protein uS4, N-terminal
Small ribosomal subunit protein uS4
Exosome complex component CSL4, C-terminal
RNA binding activity-knot of a chromodomain
Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm
Serine/arginine-rich splicing factor 11, RRM
RDM1, RNA recognition motif
Nuclear RNA export factor Tap, RNA-binding domain
RNA-binding S4 domain
Small ribosomal subunit protein uS4, conserved site
RNA-binding S4 domain superfamily
Eukaryotic translation initiation factor 3 subunit C
hnRPLL, RNA recognition motif 3
hnRPLL, RNA recognition motif 1
hnRPLL, RNA recognition motif 4
NFACT, RNA-binding domain
RBM14, RNA recognition motif 1
Pentatricopeptide repeat domain-containing protein 3
RBM12B, RNA recognition motif 2
RBM12B, RNA recognition motif 3
RNA-binding protein 12B, RNA recognition motif 4
hnRPLL, RNA recognition motif 2
Translation elongation factor IF5A-like
Translation elongation factor, IF5A, hypusine site
Translation elongation factor, IF5A C-terminal
RBM48, RNA recognition motif
RNA-binding protein 48
RRM MRD1 RNA Processing and Ribosome Biogenesis
ADAD1, double-stranded RNA binding domain
Pseudouridine synthase, RsuA/RluA-like
ALKBH8, RNA recognition motif
Eukaryotic translation initiation factor 3 subunit B
TIA-1, RNA recognition motif 1
TIA-1, RNA recognition motif 2
eIF3B, RNA recognition motif
TRMT2A, RNA recognition motif
Vasculin family
hnRNPAB, RNA recognition motif 1
RNA-binding protein RO60
H/ACA ribonucleoprotein complex non-core subunit Naf1
RBM3/CIRBP, RNA recognition motif
Staufen 2, second double-stranded RNA binding domain
Double-stranded RNA-binding domain-containing protein
Pre-mRNA-splicing factor Cwc2/Slt11
Large ribosomal subunit protein eL30
Large ribosomal subunit protein uL24, KOW domain
Staufen 2, third double-stranded RNA binding domain
Staufen 2, fourth double-stranded RNA binding domain
Large ribosomal subunit protein eL14
MSSP-1, RNA recognition motif 1
Acinus, RNA recognition motif
SWAP/Surp
SR140, RNA recognition motif
